"Taxa","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"IS14446.70MUKAAXX.2.250006019",9,0,30,70,0,545.81201171875,67.4385833740234,221.90837097168,124.314140319824,39.1418571472168,93.0090255737305,563.639892578125,547.833190917969,564.560485839844,550.327758789062,640,72,700,600,1290,300,3635,4136,740,119,600,400,-0.63060998916626,21
"IS14567.MRG.4.250047680",9,0,30,70,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,537.269348144531,506.141967773438,533.131042480469,514.940063476562,640,72,700,600,1290,300,3635,4136,740,119,600,400,-0.537469983100891,21
"IS21519.628NVAAXX.5.250006979",1,0,0,20,80,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,611.059509277344,474.262878417969,538.76953125,491.567718505859,353,89,NA,100,NA,NA,4645,5565,NA,NA,400,200,-0.030477000400424,25
"IS25522.MRG.4.250047691",8,0,0,100,0,NA,NA,NA,NA,NA,NA,653.257995605469,534.968383789062,581.331237792969,549.627868652344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.191939994692802,23
"IS25523.MRG.4.250047692",8,0,0,100,0,NA,NA,NA,NA,NA,NA,653.257995605469,534.968383789062,581.331237792969,549.627868652344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.191939994692802,23
"IS25524.MRG.4.250047693",8,0,0,100,0,NA,NA,NA,NA,NA,NA,653.257995605469,534.968383789062,581.331237792969,549.627868652344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"IS30898.B064FABXX.1.250009989",5,60,30,10,0,545.81201171875,67.4385833740234,221.90837097168,124.314140319824,39.1418571472168,93.0090255737305,519.914306640625,448.881805419922,457.100494384766,446.69775390625,320,70,NA,100,NA,NA,4321,5641,NA,NA,400,200,-0.505859971046448,21
"IS31123.B064FABXX.1.250010001",8,20,0,80,0,503.846771240234,36.5202445983887,124.96435546875,190.207931518555,57.3031997680664,94.8509902954102,470.609008789062,422.558563232422,436.595703125,422.368499755859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"IS9168.70MUKAAXX.2.250006009",1,0,0,10,90,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,684.165771484375,534.809204101562,609.088195800781,552.017700195312,303,68,NA,100,NA,NA,4346,5791,NA,NA,400,200,NA,22
"IS10068.C1AB3ACXX.7.250137465",11,20,60,20,0,447.863861083984,32.4624443054199,111.079437255859,169.073745727539,50.9361877441406,84.3119964599609,390.879760742188,341.061553955078,362.833862304688,355.527709960938,1455,180,1000,NA,730,66,2062,2379,523,171,500,300,NA,21
"IS10189.C1AB3ACXX.7.250137466",4,100,0,0,0,134.863632202148,9.31663703918457,35.3604011535645,67.7482070922852,18.0141410827637,4.42424392700195,371.376678466797,334.899017333984,348.237274169922,344.829437255859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"IS10191.C1AB3ACXX.7.250138387",9,0,30,70,0,447.863861083984,32.4624443054199,111.079437255859,169.073745727539,50.9361877441406,84.3119964599609,409.911987304688,349.3056640625,361.444091796875,359.092071533203,1419,174,1000,NA,730,66,2037,2300,523,171,500,300,NA,20
"IS10876.628P7AAXX.7.250007049",12,0,100,0,0,503.846771240234,36.5202445983887,124.96435546875,190.207931518555,57.3031997680664,94.8509902954102,398.923645019531,341.679290771484,356.483428955078,347.827056884766,850,101,1000,0,1636,77,1888,1998,NA,NA,300,200,-0.160630002617836,25
"IS10882.628P7AAXX.7.250007073",12,0,100,0,0,503.846771240234,36.5202445983887,124.96435546875,190.207931518555,57.3031997680664,94.8509902954102,398.923645019531,341.679290771484,356.483428955078,347.827056884766,850,101,1000,0,1636,77,1888,1998,NA,NA,300,200,-0.160630002617836,25
"IS11119.628NVAAXX.5.250006899",12,0,80,20,0,604.5,41.7600173950195,158.496109008789,303.668151855469,80.7448883056641,19.8308143615723,572.697692871094,401.520324707031,484.801177978516,430.46240234375,287,57,100,600,320,79,4994,6211,577,180,800,600,NA,24
"IS11374.70MUKAAXX.2.250006018",8,0,10,90,0,604.5,41.7600173950195,158.496109008789,303.668151855469,80.7448883056641,19.8308143615723,709.369445800781,540.526062011719,633.886901855469,577.319519042969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.268090009689331,24
"IS11424.C1AB3ACXX.7.250138388",8,0,0,100,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,591.075378417969,494.424133300781,528.515991210938,501.983581542969,1086,206,NA,NA,NA,NA,2539,1152,NA,NA,800,800,-0.294600009918213,26
"IS11431.C1AB3ACXX.7.250138389",8,0,10,90,0,206.999984741211,14.299955368042,54.2741050720215,103.985618591309,27.6496086120605,6.79070043563843,603.85693359375,549.391235351562,581.829345703125,583.052429199219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.316139996051788,26
"IS11473.D0D0HACXX.5.250046338",8,0,10,90,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,588.760864257812,511.154571533203,519.11572265625,508.480407714844,964,151,NA,NA,NA,NA,2568,1567,NA,NA,800,700,-0.338360011577606,14
"IS11619.D0D0HACXX.5.250046339",8,0,10,90,0,867.736206054688,47.0807609558105,105.651748657227,409.719512939453,53.2311134338379,252.05305480957,730.792419433594,541.724182128906,624.346374511719,568.226867675781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148980006575584,27
"IS11758.B064FABXX.1.250009960",8,20,0,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,727.036315917969,521.021240234375,646.365539550781,562.591186523438,594,113,400,200,1034,79,3672,4621,506,129,600,400,-0.424739986658096,25
"IS11919.D0D0HACXX.5.250046340",4,80,0,20,0,503.846771240234,43.1073417663574,24.3090305328369,87.0417938232422,28.822021484375,320.566558837891,616.922302246094,493.219299316406,535.182922363281,505.051940917969,223,52,300,400,893,27,4765,6234,524,182,700,500,-0.0516939982771873,26
"IS11954.MRG.4.250047668",4,90,0,10,0,867.736206054688,62.8959922790527,215.216430664062,327.580352783203,98.6888732910156,163.354507446289,903.135620117188,668.270080566406,803.9443359375,693.172668457031,203,32,800,0,422,71,5650,6415,NA,NA,700,400,NA,28
"IS11960.D0D0HACXX.5.250046081",4,90,0,10,0,867.736206054688,62.8959922790527,215.216430664062,327.580352783203,98.6888732910156,163.354507446289,903.135620117188,668.270080566406,803.9443359375,693.172668457031,203,32,800,0,422,71,5650,6415,NA,NA,700,400,NA,28
"IS12031.C1AB3ACXX.7.250138390",9,10,20,70,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,604.238586425781,444.7861328125,520.717407226562,461.665771484375,1170,88,NA,NA,2295,339,2398,2634,NA,NA,600,400,-0.266189992427826,27
"IS12106.C1AB3ACXX.7.250138391",9,0,30,70,0,1323.80529785156,142.795227050781,201.581481933594,285.599090576172,69.8586807250977,623.970825195312,378.006072998047,337.865417480469,338.846069335938,344.271026611328,1726,554,NA,NA,NA,NA,1744,1813,NA,NA,500,400,-0.101530000567436,23
