"Taxa","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"IS12110.70MUKAAXX.2.250006030",8,0,10,90,0,604.5,41.7600173950195,158.496109008789,303.668151855469,80.7448883056641,19.8308143615723,709.369445800781,540.526062011719,633.886901855469,577.319519042969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24634000658989,25
"IS12169.628NVAAXX.5.250006923",11,0,60,40,0,867.736206054688,62.8959922790527,215.216430664062,327.580352783203,98.6888732910156,163.354507446289,719.256103515625,534.020629882812,638.989440917969,574.18798828125,579,88,300,600,442,92,4302,5316,577,178,700,500,-0.0980620011687279,26
"IS12531.628NVAAXX.5.250006971",4,90,0,10,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,727.036315917969,521.021240234375,646.365539550781,562.591186523438,594,113,400,200,1034,79,3672,4621,506,129,600,400,-0.377369999885559,26
"IS12584.C1AB3ACXX.7.250138392",8,0,0,100,0,503.846771240234,43.1073417663574,24.3090305328369,87.0417938232422,28.822021484375,320.566558837891,422.157043457031,327.180480957031,336.315246582031,332.351989746094,1562,200,1000,NA,730,66,2137,2616,523,171,400,200,-0.357360005378723,27
"IS12590.C1AB3ACXX.7.250138393",5,60,30,10,0,297.140411376953,16.1219482421875,36.1785087585449,140.300979614258,18.2280216217041,86.3109664916992,623.893005371094,594.410949707031,604.04296875,596.380676269531,866,236,0,44,750,206,4109,3337,371,312,700,500,NA,26
"IS13782.D0D0HACXX.5.250046354",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13791.628P7AAXX.7.250007099",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13827.70MUKAAXX.2.250006050",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13845.628NVAAXX.5.250006901",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13893.D0D0HACXX.5.250046355",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13919.D0D0HACXX.5.250046356",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13926.628NVAAXX.5.250006925",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS13971.D0D0HACXX.5.250046357",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS1398.628NVAAXX.5.250006961",9,0,30,70,0,297.140411376953,16.1219482421875,36.1785087585449,140.300979614258,18.2280216217041,86.3109664916992,562.953063964844,524.099487304688,524.088439941406,538.572265625,599,50,NA,NA,1350,548,3013,2962,889,NA,600,400,-0.457100003957748,24
"IS13989.628NVAAXX.5.250006949",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS14010.D0D0HACXX.5.250046358",11,0,60,40,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,563.546508789062,420.052459716797,507.2890625,448.154998779297,1048,360,NA,NA,1979,766,2359,2642,939,NA,600,400,NA,22
"IS14449.70MUKAAXX.2.250006046",9,0,30,70,0,545.81201171875,67.4385833740234,221.90837097168,124.314140319824,39.1418571472168,93.0090255737305,563.639892578125,547.833190917969,564.560485839844,550.327758789062,640,72,700,600,1290,300,3635,4136,740,119,600,400,-0.63060998916626,21
"IS14478.70MUKAAXX.2.250006051",8,0,20,80,0,297.140411376953,16.1219482421875,36.1785087585449,140.300979614258,18.2280216217041,86.3109664916992,528.123657226562,497.214447021484,500.253875732422,507.301574707031,545,40,NA,NA,1422,661,3320,2938,973,NA,700,500,-0.301770001649857,25
"IS14556.70MUKAAXX.2.250006075",NA,0,0,0,0,867.736206054688,47.0807609558105,105.651748657227,409.719512939453,53.2311134338379,252.05305480957,612.361083984375,575.092651367188,599.566528320312,578.790283203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"IS14564.MRG.4.250047679",9,0,30,70,0,545.81201171875,67.4385833740234,221.90837097168,124.314140319824,39.1418571472168,93.0090255737305,563.639892578125,547.833190917969,564.560485839844,550.327758789062,640,72,700,600,1290,300,3635,4136,740,119,600,400,-0.63060998916626,21
"IS14635.C1AB3ACXX.7.250138422",8,0,0,100,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,759.97265625,691.24365234375,728.367797851562,704.86376953125,651,155,NA,NA,1847,829,2799,2719,1066,NA,600,400,-0.451829999685287,26
"IS14719.MRG.4.250047681",9,0,20,60,20,940.009643554688,116.144233703613,382.175598144531,214.096572875977,67.4109725952148,160.182220458984,835.567443847656,911.066101074219,974.859680175781,933.182373046875,1538,55,NA,NA,NA,NA,3102,3629,NA,NA,700,500,NA,29
"IS14724.C1AB3ACXX.7.250138424",1,0,10,0,90,545.81201171875,58.8752288818359,83.1131286621094,117.754028320312,28.8031044006348,257.266479492188,528.352966308594,416.775421142578,448.355163574219,433.700592041016,230,72,NA,NA,NA,NA,7114,8969,NA,NA,1100,1000,-0.408659994602203,26
"IS14735.70MUKAAXX.2.250006039",11,20,50,30,0,940.009643554688,101.39623260498,143.139266967773,202.798629760742,49.605354309082,443.070129394531,694.519409179688,593.850158691406,626.428955078125,615.846069335938,244,45,200,400,875,111,4651,5907,613,NA,700,500,NA,25
"IS17149.C1AB3ACXX.7.250138425",9,20,0,60,20,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,344.992767333984,315.595672607422,317.286956787109,319.596984863281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.255250006914139,22
"IS17185.C1AB3ACXX.7.250138426",12,0,100,0,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,509.491058349609,490.623565673828,501.237548828125,496.921813964844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,NA,24
"IS17195.C1AB3ACXX.7.250138427",8,0,10,90,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,407.047302246094,303.923980712891,324.441131591797,325.562805175781,1562,200,1000,NA,730,66,2137,2616,523,171,500,300,-0.0761699974536896,22
"IS17196.C1AB3ACXX.7.250138428",9,0,40,60,0,503.846771240234,36.5202445983887,124.96435546875,190.207931518555,57.3031997680664,94.8509902954102,273.305450439453,253.832672119141,259.147521972656,261.939239501953,1473,354,1000,NA,1601,299,1455,2011,736,192,200,100,NA,21
"IS18295.C1AB3ACXX.7.250138462",11,0,70,30,0,1323.80529785156,142.795227050781,201.581481933594,285.599090576172,69.8586807250977,623.970825195312,328.969848632812,321.869903564453,326.552978515625,331.095336914062,2008,666,NA,NA,NA,NA,1168,1609,NA,NA,300,100,-0.30307000875473,18
"IS18303.C1AB3ACXX.7.250138463",12,0,100,0,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,327.842651367188,228.234741210938,223.132781982422,228.608764648438,2252,831,NA,NA,2077,139,1168,1716,494,68,200,100,-0.183860003948212,12
"IS18822.C1AB3ACXX.7.250138464",12,0,100,0,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,473.0771484375,444.788360595703,453.666229248047,452.283660888672,2624,1591,NA,NA,NA,NA,1395,1976,NA,NA,200,300,-0.197589993476868,11
"IS19016.70MUKAAXX.2.250006066",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19026.628P7AAXX.7.250007103",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19041.70MUKAAXX.2.250006078",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19126.D0D0HACXX.5.250046083",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19132.628NVAAXX.5.250006905",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19153.MRG.4.250047481",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19262.D0D0HACXX.5.250046084",9,0,33,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,446.155151367188,358.544128417969,386.650207519531,382.249114990234,1348,161,NA,NA,NA,NA,1987,2142,NA,NA,500,300,-0.363759994506836,22
"IS19477.C1AB3ACXX.7.250138465",2,0,0,30,70,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,423.188598632812,385.611694335938,382.976409912109,378.902252197266,441,106,NA,100,NA,NA,4785,4961,NA,NA,400,200,-0.170790001749992,20
"IS19485.C1AB3ACXX.7.250138466",2,0,0,50,50,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,482.181213378906,401.8134765625,409.762390136719,406.359405517578,621,106,NA,100,NA,NA,3409,4358,NA,NA,500,300,-0.27836000919342,20
"IS19494.C1AB3ACXX.7.250138467",9,0,40,60,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,1194.9375,1075.28356933594,1181.88305664062,1094.16064453125,575,79,NA,NA,1299,578,3622,3115,863,NA,700,500,-0.298260003328323,23
"IS19507.C1AB3ACXX.7.250138468",2,0,30,0,70,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,384.900726318359,322.851989746094,340.195648193359,330.327575683594,813,293,NA,200,NA,NA,3496,5048,NA,NA,300,100,-0.283360004425049,21
"IS19513.C1AB3ACXX.7.250138469",9,0,30,70,0,503.846771240234,36.5202445983887,124.96435546875,190.207931518555,57.3031997680664,94.8509902954102,371.364532470703,357.478210449219,355.894012451172,363.27734375,1100,179,1000,NA,1700,459,1534,1858,913,261,200,100,NA,24
"IS19520.C1AB3ACXX.7.250138470",2,0,0,50,50,116.999992370605,7.25971412658691,23.7575950622559,69.3514022827148,15.5723609924316,1.05891180038452,448.995330810547,374.923156738281,383.787200927734,389.488586425781,621,106,NA,100,NA,NA,3409,4358,NA,NA,500,300,-0.133699998259544,18
"IS19946.C1AB3ACXX.7.250138479",12,0,100,0,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,345.141510009766,337.959625244141,350.195983886719,349.868957519531,1991,655,NA,NA,2225,132,1182,1610,508,41,300,100,-0.318760007619858,19
"IS19950.C1AB3ACXX.7.250138480",8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,346.415802001953,318.726684570312,325.319793701172,322.462921142578,1991,655,NA,NA,2225,132,1182,1610,508,41,300,100,NA,23
"IS19953.628P7AAXX.7.250007033",8,0,0,100,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,320.018920898438,302.364440917969,309.863555908203,307.280242919922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.169780001044273,21
"IS19956.C1AB3ACXX.7.250138481",11,0,70,30,0,NA,NA,NA,NA,NA,NA,283.976043701172,236.76611328125,236.415481567383,237.541061401367,1774,663,NA,NA,1878,142,1660,2261,498,41,300,100,-0.245429992675781,13
"IS19962.C1AB3ACXX.7.250138482",12,0,100,0,0,NA,NA,NA,NA,NA,NA,370.05126953125,307.349914550781,318.099090576172,313.805206298828,2358,884,NA,NA,2225,132,901,1586,508,41,200,100,-0.163090005517006,15
"IS19975.MRG.4.250047488",5,60,0,40,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,429.090759277344,361.335510253906,398.937103271484,369.864105224609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.134350001811981,21
"IS19978.C1AB3ACXX.7.250137625",5,60,0,40,0,206.999984741211,14.299955368042,54.2741050720215,103.985618591309,27.6496086120605,6.79070043563843,354.152923583984,307.243438720703,312.943145751953,321.48193359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"IS19982.C1AB3ACXX.7.250137626",8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,339.751770019531,316.163757324219,323.301361083984,328.911529541016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"IS19988.C1AB3ACXX.7.250137627",8,0,10,90,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,316.885986328125,306.364807128906,314.182739257812,312.098999023438,1830,829,NA,NA,NA,NA,2083,2113,NA,NA,400,300,-0.319869995117188,20
"IS19991.C1AB3ACXX.7.250137628",9,0,30,70,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,284.437927246094,186.514144897461,185.847381591797,187.638610839844,1228,202,1000,NA,1409,341,1623,2142,796,234,200,100,NA,22
"IS19998.C1AB3ACXX.7.250137629",11,0,60,40,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,350.75341796875,318.829986572266,323.760009765625,324.559387207031,1295,151,NA,NA,NA,NA,1950,2024,NA,NA,500,300,NA,22
"IS20004.C1AB3ACXX.7.250137630",12,0,100,0,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,378.633666992188,338.070953369141,357.734832763672,348.235992431641,1991,655,NA,NA,2225,132,1182,1610,508,41,300,100,NA,23
"IS20016.628P7AAXX.7.250007057",8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,339.517059326172,289.569061279297,303.164764404297,301.208892822266,1085,204,1000,NA,1700,459,1404,1939,913,261,100,100,NA,23
"IS20024.C1AB3ACXX.7.250137631",11,0,66,34,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,460.300201416016,416.85205078125,435.869079589844,421.115051269531,1508,489,NA,NA,NA,NA,2586,2803,NA,NA,400,300,NA,23
"IS20027.C1AB3ACXX.7.250137632",9,0,30,70,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,365.04443359375,332.718811035156,344.717529296875,346.40087890625,1228,202,1000,NA,1409,341,1623,2142,796,234,200,100,NA,21
"IS20028.C1AB3ACXX.7.250137633",12,0,90,10,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,396.373504638672,344.825592041016,366.718017578125,358.468170166016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.209130004048347,23
"IS20049.C1AB3ACXX.7.250137634",9,0,30,70,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,409.645355224609,359.707824707031,380.689361572266,371.026428222656,1228,202,1000,NA,1409,341,1623,2142,796,234,200,100,NA,21
"IS20064.628P7AAXX.7.250007081",11,0,60,40,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,374.417236328125,343.433166503906,364.027587890625,353.575531005859,1295,151,NA,NA,NA,NA,1950,2024,NA,NA,500,300,-0.219919994473457,22
"IS20073.C1AB3ACXX.7.250137635",8,0,0,100,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,421.04638671875,372.272552490234,389.853454589844,385.358795166016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23352999985218,21
"IS20087.C1AB3ACXX.7.250137636",11,0,60,40,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,333.581420898438,307.165252685547,321.4306640625,320.393402099609,1295,151,NA,NA,NA,NA,1950,2024,NA,NA,500,300,-0.169770002365112,21
"IS20105.C1AB3ACXX.7.250137637",11,0,70,30,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,324.973937988281,287.404724121094,296.159118652344,294.376098632812,890,73,1000,NA,1207,349,3142,3057,695,207,500,500,NA,22
"IS20116.C1AB3ACXX.7.250137638",9,0,30,70,0,394.197570800781,42.5209999084473,60.0261421203613,85.0445861816406,20.8022441864014,185.803604125977,389.527618408203,361.871276855469,390.146179199219,378.109252929688,1228,202,1000,NA,1409,341,1623,2142,796,234,200,100,-0.216570004820824,20
"IS20125.C1AB3ACXX.7.250137639",8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,395.621429443359,338.575592041016,350.7958984375,347.456420898438,1323,202,1000,NA,1215,262,1770,2277,718,216,300,200,-0.137960001826286,20
"IS20146.C1AB3ACXX.7.250137640",5,60,0,40,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,434.115844726562,373.530670166016,377.070098876953,373.175811767578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14376999437809,19
"IS20158.C1AB3ACXX.7.250137641",11,0,70,30,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,323.354339599609,235.637145996094,244.134521484375,239.778533935547,2200,921,0,44,7320,556,2193,1393,371,393,200,300,-0.119410000741482,8
"IS20164.C1AB3ACXX.7.250137642",12,0,100,0,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,326.119812011719,314.036376953125,310.868621826172,316.631927490234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0881379991769791,7
